iter	Passed	Remaining
0	0	563
1	1	559
2	1	464
3	1	464
4	2	474
5	2	478
6	3	477
7	3	483
8	4	482
9	4	487
10	5	489
11	6	494
12	6	494
13	6	489
14	7	496
15	7	489
16	8	495
17	9	495
18	9	496
19	10	499
20	10	506
21	11	506
22	11	505
23	12	507
24	13	508
25	13	509
26	14	510
27	14	510
28	15	516
29	15	515
30	16	513
31	17	514
32	17	521
33	18	524
34	19	524
35	19	524
36	20	524
37	20	525
38	21	527
39	21	527
40	22	526
41	23	526
42	23	525
43	24	523
44	24	522
45	25	521
46	25	519
47	26	518
48	26	517
49	27	514
50	27	512
51	28	511
52	28	510
53	29	509
54	29	508
55	30	506
56	30	505
57	31	503
58	31	502
59	31	500
60	32	499
61	33	499
62	33	500
63	34	499
64	34	498
65	35	497
66	35	496
67	36	495
68	36	494
69	37	493
70	37	493
71	38	494
72	38	493
73	39	493
74	40	493
75	40	492
76	41	491
77	41	491
78	42	490
79	42	490
80	43	491
81	43	490
82	44	490
83	44	490
84	45	490
85	46	489
86	46	487
87	46	486
88	47	486
89	48	485
90	48	484
91	49	484
92	49	483
93	50	483
94	50	482
95	51	482
96	51	481
97	52	480
98	52	480
99	53	479
100	53	479
101	54	478
102	54	477
103	55	478
104	55	477
105	56	476
106	57	476
107	57	475
108	58	475
109	58	474
110	59	473
111	59	472
112	60	471
113	60	470
114	61	469
115	61	468
116	61	467
117	62	466
118	62	466
119	63	466
120	64	465
121	64	464
122	65	464
123	65	463
124	66	463
125	66	462
126	67	461
127	67	461
128	68	460
129	68	459
130	69	459
131	69	458
132	70	458
133	70	458
134	71	457
135	71	457
136	72	456
137	72	455
138	73	455
139	74	455
140	74	454
141	75	453
142	75	454
143	76	453
144	76	452
145	77	452
146	78	452
147	78	452
148	79	452
149	79	452
150	80	452
151	80	451
152	81	451
153	82	450
154	82	450
155	83	450
156	83	450
157	84	449
158	84	449
159	85	449
160	86	448
161	86	447
162	87	447
163	87	447
164	88	446
165	88	446
166	89	445
167	89	445
168	90	444
169	90	444
170	91	443
171	92	443
172	92	442
173	93	442
174	93	441
175	94	440
176	94	440
177	95	440
178	95	439
179	96	438
180	96	438
181	97	437
182	97	436
183	98	436
184	98	435
185	99	434
186	99	434
187	100	434
188	101	433
189	101	433
190	102	432
191	102	432
192	103	431
193	103	431
194	104	430
195	104	429
196	105	429
197	105	428
198	106	428
199	106	427
200	107	426
201	107	426
202	108	425
203	108	425
204	109	424
205	109	423
206	110	423
207	110	422
208	111	421
209	111	420
210	112	420
211	112	419
212	113	418
213	113	418
214	114	417
215	114	416
216	115	415
217	115	415
218	116	414
219	116	413
220	117	412
221	117	412
222	118	411
223	118	410
224	118	409
225	119	409
226	119	408
227	120	407
228	120	406
229	121	406
230	121	405
231	122	404
232	122	403
233	123	403
234	123	402
235	124	402
236	124	401
237	125	400
238	125	400
239	126	399
240	126	399
241	127	398
242	127	398
243	128	397
244	128	396
245	129	396
246	129	395
247	130	394
248	130	394
249	131	393
250	131	392
251	132	392
252	132	391
253	133	390
254	133	390
255	133	389
256	134	389
257	135	388
258	135	388
259	136	387
260	136	386
261	137	386
262	137	385
263	138	385
264	138	384
265	139	384
266	139	384
267	140	383
268	141	383
269	141	382
270	141	381
271	142	381
272	142	380
273	143	379
274	143	378
275	144	378
276	144	377
277	145	377
278	145	376
279	146	376
280	146	375
281	147	375
282	147	374
283	148	374
284	148	373
285	149	373
286	149	372
287	150	372
288	151	372
289	151	371
290	152	371
291	152	370
292	153	369
293	153	369
294	154	368
295	154	367
296	155	367
297	155	366
298	156	365
299	156	365
300	156	364
301	157	363
302	157	363
303	158	362
304	158	361
305	159	361
306	159	360
307	160	359
308	160	359
309	160	358
310	161	357
311	161	356
312	162	356
313	162	355
314	163	355
315	163	354
316	164	354
317	165	354
318	165	353
319	166	353
320	166	352
321	167	351
322	167	351
323	168	350
324	168	350
325	169	349
326	169	349
327	170	348
328	170	348
329	171	347
330	171	346
331	172	346
332	172	345
333	173	345
334	173	344
335	174	344
336	174	343
337	175	343
338	175	342
339	176	342
340	176	341
341	177	341
342	178	341
343	178	341
344	179	340
345	180	340
346	180	339
347	181	339
348	181	338
349	182	338
350	182	337
351	183	337
352	183	336
353	184	336
354	184	335
355	185	335
356	185	334
357	186	334
358	186	333
359	187	333
360	187	332
361	188	332
362	188	331
363	189	331
364	189	330
365	190	329
366	191	329
367	191	329
368	192	328
369	192	328
370	193	327
371	193	327
372	194	326
373	195	326
374	195	325
375	196	325
376	196	324
377	197	324
378	197	323
379	198	323
380	198	322
381	199	322
382	199	321
383	200	321
384	200	320
385	201	320
386	201	319
387	202	319
388	202	318
389	203	317
390	203	317
391	204	316
392	204	316
393	205	315
394	205	315
395	206	314
396	206	314
397	207	313
398	207	313
399	208	312
400	208	311
401	209	311
402	209	310
403	210	310
404	210	309
405	211	308
406	211	308
407	212	307
408	212	307
409	213	306
410	213	306
411	214	305
412	214	304
413	214	304
414	215	303
415	216	303
416	216	302
417	216	302
418	217	301
419	217	300
420	218	300
421	218	299
422	219	299
423	219	298
424	220	298
425	220	297
426	221	297
427	221	296
428	222	295
429	222	295
430	223	294
431	223	294
432	224	293
433	224	292
434	224	292
435	225	291
436	225	291
437	226	290
438	226	289
439	227	289
440	227	288
441	228	287
442	228	287
443	228	286
444	229	286
445	229	285
446	230	284
447	230	284
448	231	283
449	231	283
450	232	282
451	232	281
452	233	281
453	233	281
454	234	280
455	234	280
456	235	279
457	235	279
458	236	278
459	237	278
460	237	277
461	238	277
462	238	276
463	238	276
464	239	275
465	239	274
466	240	274
467	240	273
468	241	273
469	241	272
470	242	271
471	242	271
472	242	270
473	243	270
474	243	269
475	244	268
476	244	268
477	245	267
478	245	267
479	245	266
480	246	265
481	246	265
482	247	264
483	247	264
484	248	263
485	248	263
486	249	262
487	249	262
488	250	261
489	250	260
490	251	260
491	251	259
492	252	259
493	252	258
494	253	258
495	253	257
496	253	256
497	254	256
498	254	255
499	255	255
500	255	254
501	255	253
502	256	253
503	256	252
504	257	252
505	257	251
506	257	250
507	258	250
508	258	249
509	259	248
510	259	248
511	259	247
512	260	247
513	260	246
514	261	245
515	261	245
516	262	244
517	262	244
518	263	243
519	263	243
520	263	242
521	264	242
522	264	241
523	265	241
524	265	240
525	266	240
526	267	239
527	267	239
528	267	238
529	268	238
530	268	237
531	269	236
532	269	236
533	270	235
534	270	235
535	271	234
536	271	234
537	272	233
538	272	233
539	273	232
540	273	232
541	274	231
542	274	231
543	275	230
544	275	230
545	276	229
546	276	229
547	277	228
548	277	228
549	278	227
550	278	227
551	279	226
552	279	226
553	280	225
554	281	225
555	281	224
556	282	224
557	282	223
558	283	223
559	283	222
560	284	222
561	284	221
562	285	221
563	285	220
564	285	220
565	286	219
566	286	218
567	287	218
568	287	217
569	288	217
570	288	216
571	289	216
572	289	215
573	290	215
574	290	214
575	290	214
576	291	213
577	291	212
578	292	212
579	292	211
580	292	211
581	293	210
582	293	210
583	294	209
584	294	208
585	294	208
586	295	207
587	295	207
588	296	206
589	296	206
590	296	205
591	297	204
592	297	204
593	298	203
594	298	203
595	299	202
596	299	202
597	300	201
598	300	201
599	301	200
600	301	200
